,Year,LGA,Numerator,Denominator,Indicator,area,latitude,longitude
271,2011,Mildura (RC),12,620,0.01935483870967742,"Mildura, Victoria, Australia",-34.1847265,142.1624972
272,2012,Mildura (RC),15,707,0.021216407355021217,"Mildura, Victoria, Australia",-34.1847265,142.1624972
273,2013,Mildura (RC),19,694,0.027377521613832854,"Mildura, Victoria, Australia",-34.1847265,142.1624972
274,2014,Mildura (RC),7,702,0.009971509971509971,"Mildura, Victoria, Australia",-34.1847265,142.1624972
275,2015,Mildura (RC),9,632,0.014240506329113924,"Mildura, Victoria, Australia",-34.1847265,142.1624972
277,2011,Mitchell (S),8,385,0.02077922077922078,"Mitchell, Victoria, Australia",-34.02355935,135.52634290065
278,2012,Mitchell (S),11,523,0.021032504780114723,"Mitchell, Victoria, Australia",-34.02355935,135.52634290065
279,2013,Mitchell (S),9,443,0.020316027088036117,"Mitchell, Victoria, Australia",-34.02355935,135.52634290065
280,2014,Mitchell (S),6,500,0.012,"Mitchell, Victoria, Australia",-34.02355935,135.52634290065
281,2015,Mitchell (S),11,537,0.020484171322160148,"Mitchell, Victoria, Australia",-34.02355935,135.52634290065
284,2012,Moira (S),5,350,0.014285714285714285,"Moira, Victoria, Australia",-36.1639884,145.8774323
286,2014,Moira (S),10,320,0.03125,"Moira, Victoria, Australia",-36.1639884,145.8774323
287,2015,Moira (S),6,327,0.01834862385321101,"Moira, Victoria, Australia",-36.1639884,145.8774323
288,2010,Monash (C),40,1557,0.02569043031470777,"Monash, Victoria, Australia",-34.2376497,140.5575459
289,2011,Monash (C),45,1504,0.02992021276595745,"Monash, Victoria, Australia",-34.2376497,140.5575459
290,2012,Monash (C),43,1552,0.027706185567010308,"Monash, Victoria, Australia",-34.2376497,140.5575459
291,2013,Monash (C),50,1654,0.030229746070133012,"Monash, Victoria, Australia",-34.2376497,140.5575459
292,2014,Monash (C),50,1559,0.03207184092366902,"Monash, Victoria, Australia",-34.2376497,140.5575459
293,2015,Monash (C),57,1663,0.034275405892964524,"Monash, Victoria, Australia",-34.2376497,140.5575459
294,2010,Moonee Valley (C),37,987,0.037487335359675786,"Moonee Valley, Victoria, Australia",-37.753033,144.919032796401
295,2011,Moonee Valley (C),37,1087,0.03403863845446182,"Moonee Valley, Victoria, Australia",-37.753033,144.919032796401
296,2012,Moonee Valley (C),26,713,0.0364656381486676,"Moonee Valley, Victoria, Australia",-37.753033,144.919032796401
297,2013,Moonee Valley (C),25,1050,0.023809523809523808,"Moonee Valley, Victoria, Australia",-37.753033,144.919032796401
298,2014,Moonee Valley (C),27,1089,0.024793388429752067,"Moonee Valley, Victoria, Australia",-37.753033,144.919032796401
299,2015,Moonee Valley (C),27,836,0.03229665071770335,"Moonee Valley, Victoria, Australia",-37.753033,144.919032796401
301,2011,Moorabool (S),8,371,0.0215633423180593,"Moorabool, Victoria, Australia",-38.0666588,144.2925356
302,2012,Moorabool (S),12,414,0.028985507246376812,"Moorabool, Victoria, Australia",-38.0666588,144.2925356
303,2013,Moorabool (S),8,417,0.019184652278177457,"Moorabool, Victoria, Australia",-38.0666588,144.2925356
304,2014,Moorabool (S),6,436,0.013761467889908258,"Moorabool, Victoria, Australia",-38.0666588,144.2925356
305,2015,Moorabool (S),8,436,0.01834862385321101,"Moorabool, Victoria, Australia",,
306,2010,Moreland (C),47,1303,0.03607060629316961,"Moreland, Victoria, Australia",-37.754001,144.961882946448
307,2011,Moreland (C),39,1438,0.027121001390820583,"Moreland, Victoria, Australia",-37.754001,144.961882946448
308,2012,Moreland (C),37,1357,0.027266028002947678,"Moreland, Victoria, Australia",-37.754001,144.961882946448
309,2013,Moreland (C),44,1496,0.029411764705882353,"Moreland, Victoria, Australia",-37.754001,144.961882946448
310,2014,Moreland (C),48,1491,0.03219315895372234,"Moreland, Victoria, Australia",-37.754001,144.961882946448
311,2015,Moreland (C),27,1449,0.018633540372670808,"Moreland, Victoria, Australia",-37.754001,144.961882946448
