Year,LGA,Numerator,Denominator,Indicator
2014,Manningham (C),44,1149,0.038294168842471714
2015,Manningham (C),38,1105,0.034389140271493215
2010,Mansfield (S),NDP,NDP,NDP
2011,Mansfield (S),NDP,NDP,NDP
2012,Mansfield (S),NDP,NDP,NDP
2013,Mansfield (S),NDP,NDP,NDP
2014,Mansfield (S),NDP,NDP,NDP
2015,Mansfield (S),NDP,NDP,NDP
2010,Maribyrnong (C),11,678,0.016224188790560472
2011,Maribyrnong (C),12,704,0.017045454545454544
2012,Maribyrnong (C),15,678,0.022123893805309734
2013,Maribyrnong (C),18,777,0.023166023166023165
2014,Maribyrnong (C),14,848,0.01650943396226415
2015,Maribyrnong (C),20,890,0.02247191011235955
2010,Maroondah (C),26,1143,0.022747156605424323
2011,Maroondah (C),25,1123,0.02226179875333927
2012,Maroondah (C),31,1163,0.026655202063628546
2013,Maroondah (C),31,1197,0.025898078529657476
2014,Maroondah (C),22,1161,0.018949181739879414
2015,Maroondah (C),26,1244,0.02090032154340836
2010,Melbourne (C),6,299,0.020066889632107024
2011,Melbourne (C),13,334,0.038922155688622756
2012,Melbourne (C),8,305,0.02622950819672131
2013,Melbourne (C),16,371,0.0431266846361186
2014,Melbourne (C),10,407,0.02457002457002457
2015,Melbourne (C),7,342,0.02046783625730994
2010,Melton (C),32,1200,0.02666666666666667
2011,Melton (C),30,1449,0.020703933747412008
2012,Melton (C),41,1446,0.028354080221300138
2013,Melton (C),35,1720,0.020348837209302327
2014,Melton (C),35,1766,0.019818799546998868
2015,Melton (C),36,1668,0.02158273381294964
2010,Mildura (RC),14,599,0.02337228714524207
2011,Mildura (RC),12,620,0.01935483870967742
2012,Mildura (RC),15,707,0.021216407355021217
2013,Mildura (RC),19,694,0.027377521613832854
2014,Mildura (RC),7,702,0.009971509971509971
2015,Mildura (RC),9,632,0.014240506329113924
2010,Mitchell (S),NDP,NDP,NDP
2011,Mitchell (S),8,385,0.02077922077922078
2012,Mitchell (S),11,523,0.021032504780114723
2013,Mitchell (S),9,443,0.020316027088036117
2014,Mitchell (S),6,500,0.012
2015,Mitchell (S),11,537,0.020484171322160148
2010,Moira (S),NDP,NDP,NDP
2011,Moira (S),NDP,NDP,NDP
2012,Moira (S),5,350,0.014285714285714285
2013,Moira (S),NDP,NDP,NDP
2014,Moira (S),10,320,0.03125
2015,Moira (S),6,327,0.01834862385321101
2010,Monash (C),40,1557,0.02569043031470777
2011,Monash (C),45,1504,0.02992021276595745
2012,Monash (C),43,1552,0.027706185567010308
2013,Monash (C),50,1654,0.030229746070133012
2014,Monash (C),50,1559,0.03207184092366902
2015,Monash (C),57,1663,0.034275405892964524
2010,Moonee Valley (C),37,987,0.037487335359675786
2011,Moonee Valley (C),37,1087,0.03403863845446182
2012,Moonee Valley (C),26,713,0.0364656381486676
2013,Moonee Valley (C),25,1050,0.023809523809523808
2014,Moonee Valley (C),27,1089,0.024793388429752067
2015,Moonee Valley (C),27,836,0.03229665071770335
2010,Moorabool (S),NDP,NDP,NDP
2011,Moorabool (S),8,371,0.0215633423180593
2012,Moorabool (S),12,414,0.028985507246376812
2013,Moorabool (S),8,417,0.019184652278177457
2014,Moorabool (S),6,436,0.013761467889908258
2015,Moorabool (S),8,436,0.01834862385321101
2010,Moreland (C),47,1303,0.03607060629316961
2011,Moreland (C),39,1438,0.027121001390820583
2012,Moreland (C),37,1357,0.027266028002947678
2013,Moreland (C),44,1496,0.029411764705882353
2014,Moreland (C),48,1491,0.03219315895372234
2015,Moreland (C),27,1449,0.018633540372670808
